Series Title,Year Released,Content Rating,IMDB Rating,Genre,Description,No of Seasons,Streaming Platform
Scream Queens,2015,16+,7.1,"Comedy, Horror","The super-charged comedy-horror series is a modern take on the classic whodunit with a killer cast.Scream Queens featuring Emma Roberts and Taylor Lautner has one or more episodes streaming with subscription on Hulu, available for purchase on iTunes, available for purchase on Google Play, and 3 others. It's a comedy and crime show with 23 episodes over 2 seasons. Scream Queens is no longer running and has no plans to air new episodes or seasons. It has a better than average IMDb audience rating of 7.1 (33,739 votes) and was well received by critics.",2Seasons,Hulu
Transparent,2014,18+,7.8,"Comedy, LGBTQ","An LA family with serious boundary issues have their past and future unravel when a dramatic admission causes everyone's secrets to spill out.Transparent featuring Gaby Hoffmann and Amy Landecker has one or more episodes streaming with subscription on Prime Video, and available for purchase on Google Play. It's a comedy and drama show with 41 episodes over 5 seasons. Transparent is no longer running and has no plans to air new episodes or seasons. It has a high IMDb audience rating of 7.8 (20,897 votes) and was very well received by critics.",5Seasons,Prime Video
The Hour,2011,18+,8,"Drama, History","A behind-the-scenes drama and espionage thriller in Cold War-era England that centers on a journalist, a producer, and an anchorman for an investigative news programme.The Hour featuring Ben Whishaw and Romola Garai has one or more episodes streaming with subscription on Acorn TV (Via Prime Video), free on Tubi, available for purchase on iTunes, and 4 others. It's a drama and history show with 12 episodes over 2 seasons. The Hour is no longer running and has no plans to air new episodes or seasons. It has a high IMDb audience rating of 8.0 (9,288 votes) and was well received by critics.",2Seasons,"Free Services,AcornTV"
Sports Night,1998,7+,8.2,"Comedy, Drama","The offbeat cast and crew of a sports news show deal with professional, personal, and ethical challenges while functioning in a pressure-cooker work environment.Sports Night featuring Joshua Malina and Robert Guillaume has one or more episodes available for purchase on iTunes, available for purchase on Google Play, available for purchase on Prime Video, and 3 others. It's a comedy and documentary show with 47 episodes over 2 seasons. Sports Night is no longer running and has no plans to air new episodes or seasons. It has a high IMDb audience rating of 8.2 (7,072 votes) and was very well received by critics.",2Seasons,Prime Video
I Love Lucy,1951,all,8.4,"Comedy, Family","Cuban Bandleader Ricky Ricardo would be happy if his wife Lucy would just be a housewife. Instead she tries constantly to perform at the Tropicana where he works, and make life comically frantic in the apartment building they share with landlords Fred and Ethel Mertz, who also happen to be their best friends.I Love Lucy featuring Lucille Ball and Desi Arnaz has one or more episodes streaming with subscription on Hulu, streaming on CBS All Access, free on CBS, and 5 others. It's a comedy and family show with 194 episodes over 10 seasons. I Love Lucy is no longer running and has no plans to air new episodes or seasons. It has a high IMDb audience rating of 8.4 (21,640 votes).",10Seasons,"Free Services,Hulu,CBS All Access"
Full House,1987,all,6.7,"Comedy, Drama","After the death of his wife, Danny enlists his best friend and his brother-in-law to help raise his three daughters, D.J., Stephanie, and Michelle.Full House featuring John Stamos and Bob Saget has one or more episodes streaming with subscription on Hulu, streaming with subscription on fuboTV, available for purchase on iTunes, and 5 others. It's a comedy and drama show with 192 episodes over 8 seasons. Full House is no longer running and has no plans to air new episodes or seasons. It has a better than average IMDb audience rating of 6.7 (51,931 votes).",8Seasons,"Hulu,fuboTV"
Search Party,2016,18+,7.6,"Comedy, Crime","A dark comedy about four self-absorbed twenty-somethings who become entangled in an ominous mystery when a former college acquaintance suddenly disappears.Search Party featuring Alia Shawkat and John Early has one or more episodes streaming with subscription on HBO MAX, streaming with subscription on Hoopla, available for purchase on iTunes, and 4 others. It's a comedy and crime show with 30 episodes over 3 seasons. Search Party is still airing with no announced date for the next episode or season. It has a high IMDb audience rating of 7.6 (4,824 votes) and was very well received by critics.",3Seasons,"HBO MAX,Hoopla"
High School Musical: The Musical: The Series,2019,7+,7.3,"Comedy, Drama","A group of East High students countdown to the opening night of their school’s first-ever production of “High School Musical.” Showmances blossom; friendships are tested while new ones are made; rivalries flare and lives are changed forever as these young people discover the transformative power that only a high school drama club can provide.High School Musical: The Musical: The Series featuring Olivia Rodrigo and Kate Reinders has one or more episodes streaming with subscription on Disney+. It's a comedy and drama show with 10 episodes over 1 season. High School Musical: The Musical: The Series is still airing with no announced date for the next episode or season. It has a better than average IMDb audience rating of 7.3 (2,519 votes) and was well received by critics.",1Season,Disney+
Voltron: Legendary Defender,2016,7+,8.1,"Animation, Action & Adventure","Five unlikely teenage heroes and their flying robot lions unite to form the megapowerful Voltron and defend the universe from evil.Voltron: Legendary Defender featuring Jeremy Shada and Tyler Labine has one or more episodes streaming with subscription on Netflix, available for purchase on iTunes, available for purchase on Google Play, and 3 others. It's an action & adventure and animation show with 82 episodes over 8 seasons. Voltron: Legendary Defender is no longer running and has no plans to air new episodes or seasons. It has a high IMDb audience rating of 8.1 (7,387 votes) and was very well received by critics.",8Seasons,Netflix
Anohana: The Flower We Saw That Day,2011,16+,8.2,"Animation, Anime","When Yadomi Jinta was a child, he was a central piece in a group of close friends. In time, however, these childhood friends drifted apart, and when they became high school students, they had long ceased to think of each other as friends. One of the friends from that group, Honma Meiko, now has a wish she asks Jinta to fulfil. The problem is, she can't remember what her wish is anymore. As Meiko won't cease to bother Jinta about it, he gives in and decides to try to grant this wish he knows nothing of; for that, however, the help of his other former friends, now all very estranged from himself and from each other, may turn out to be necessary. He hasn't spoken to Anjou Naruko, Matsuyuki Atsumu, Tsurumi Chiriko, or Hisakawa Tetsudou in a long time; as he struggles to grant Meiko's wish and gathers his old friends together in the process, all the old feelings that still exist between them and have long been stashed away are bound to come up again.Anohana: The Flower We Saw That Day featuring Saori Hayami and Miyu Irino has one or more episodes streaming with subscription on Netflix, free on Crunchyroll, and streaming with subscription on Funimation. It's an action & adventure and animation show with 11 episodes over 1 season. Anohana: The Flower We Saw That Day is no longer running and has no plans to air new episodes or seasons. It has a high IMDb audience rating of 8.2 (8,358 votes).",1Season,"Free Services,Netflix,Funimation"
Versailles,2015,16+,7.9,"Biography, Drama","The story of a young Louis XIV on his journey to become the most powerful monarch in Europe, from his battles with the fronde through his development into the Sun King. Historical and fictional characters guide us in a world of betrayal and political maneuvering, revealing Versailles in all its glory and brutality.Versailles featuring George Blagden and Stuart Bowman has one or more episodes streaming with subscription on Netflix, available for purchase on iTunes, available for purchase on Google Play, and 3 others. It's a biography and drama show with 30 episodes over 3 seasons. Versailles is no longer running and has no plans to air new episodes or seasons. It has a high IMDb audience rating of 7.9 (13,063 votes) and was well received by critics.",3Seasons,Netflix
Black Clover,2017,16+,8.1,"Action & Adventure, Anime","Asta and Yuno are two orphans who want the same thing: to become the Wizard King. Locked in a friendly rivalry, they work hard towards their goal. While Yuno excels at magic, Asta has a problem uncommon in this world: he has no powers! But, on the day they receive their grimoires, they surprise everyone. To reach their goal, they’ll each find their own path to greatness—with or without magic.Black Clover featuring Gakuto Kajiwara and Nobunaga Shimazaki has one or more episodes streaming with subscription on Hulu, streaming with subscription on Crunchyroll, streaming via tv everywhere with Adult Swim (Via Cable/Satellite Provider), and 6 others. It's an action & adventure and animation show with 163 episodes over 3 seasons. Black Clover has a new episode airing on September 15th, 2020 (PDT). It has a high IMDb audience rating of 8.1 (4,959 votes).",3Seasons,"Free Services,Hulu,Crunchyroll"
Dracula,2020,18+,6.8,"Drama, Horror","Transylvania, 1897. The blood-drinking Count Dracula is drawing his plans against Victorian London. And be warned: the dead travel fast.Dracula featuring Claes Bang and Dolly Wells has one or more episodes streaming with subscription on Netflix. It's a drama and fantasy show with 3 episodes over 1 season. Dracula is no longer running and has no plans to air new episodes or seasons. It has a better than average IMDb audience rating of 6.8 (39,321 votes) and was well received by critics.",1 Season,Netflix
Everything Sucks!,2018,16+,7.5,"Comedy, LGBTQ","It's 1996 in a town called Boring, Oregon, where high school misfits in the AV and drama clubs brave the ups and downs of teenage emotions in the VHS era.Everything Sucks! featuring Jahi Di'Allo Winston and Peyton Kennedy has one or more episodes streaming with subscription on Netflix. It's a comedy and drama show with 10 episodes over 1 season. Everything Sucks! is no longer running and has no plans to air new episodes or seasons. It has a better than average IMDb audience rating of 7.5 (14,191 votes) and was well received by critics.",1Season,Netflix
Green Wing,2004,16+,8.3,"Comedy, Drama","Follow new surgical registrar Dr Caroline Todd through her first day at work and beyond, starting out as she means to go on - dishevelled and under-deodorised! Along the way she meets an assortment of bizarre and demented characters. Be prepared for one of the most surreal journeys you're ever likely to take as you dive into the anarchic world of Green Wing Hospital!Green Wing featuring Tamsin Greig and Stephen Mangan has one or more episodes free on Tubi. It's a comedy and drama show with 18 episodes over 2 seasons. Green Wing is no longer running and has no plans to air new episodes or seasons. It has a high IMDb audience rating of 8.3 (10,878 votes) and was well received by critics.",2Seasons,Free Services
Fortitude,2015,18+,7.4,"Crime, Drama","Fortitude is a place like nowhere else. Although surrounded by the savage beauty of the Arctic landscape, Fortitude is one of the safest towns on earth. There has never been a violent crime here. Until now. In such a close-knit community a murder touches everyone and the unsettling, mysterious horror of this crime threatens the future of the town itself.Fortitude featuring Richard Dormer and Sienna Guillory has one or more episodes streaming with subscription on Prime Video, available for purchase on iTunes, available for purchase on Google Play, and 3 others. It's a crime and drama show with 26 episodes over 3 seasons. Fortitude is no longer running and has no plans to air new episodes or seasons. It has a better than average IMDb audience rating of 7.4 (19,213 votes) and was well received by critics.",3Seasons,Prime Video
Whitechapel,2009,7+,7.9,"Crime, Thriller","Detective Inspector Chandler investigates copycat killers in London's East End.Whitechapel featuring Rupert Penry-Jones and Steve Pemberton has one or more episodes streaming with subscription on HBO MAX, streaming with subscription on Hulu, streaming with subscription on Hoopla, and 3 others. It's a crime and drama show with 18 episodes over 4 seasons. Whitechapel is no longer running and has no plans to air new episodes or seasons. It has a high IMDb audience rating of 7.9 (10,764 votes) and was well received by critics.",4Seasons,"HBO MAX,Hulu,Hoopla"
Justice League,2001,7+,8.5,"Action & Adventure, Animation","The long-awaited rebirth of the greatest superhero team of all time: Batman, Superman, The Flash, Wonder Woman, Hawkgirl, Green Lantern and Martian Manhunter.Justice League featuring Carl Lumbly and George Newbern has one or more episodes streaming with subscription on DC Universe, available for purchase on iTunes, available for purchase on Google Play, and 2 others. It's an action & adventure and animation show with 92 episodes over 5 seasons. Justice League is no longer running and has no plans to air new episodes or seasons. It has a high IMDb audience rating of 8.5 (40,009 votes).",5Seasons,DC Universe
Five Came Back,2017,16+,8.3,"Documentary, Biography","The extraordinary story of how Hollywood changed World War II – and how World War II changed Hollywood, through the interwoven experiences of five legendary filmmakers who went to war to serve their country and bring the truth to the American people: John Ford, William Wyler, John Huston, Frank Capra, and George Stevens. Based on Mark Harris’ best-selling book, “Five Came Back: A Story of Hollywood and the Second World War.”Five Came Back featuring Meryl Streep and Steven Spielberg has one or more episodes streaming with subscription on Netflix. It's a biography and documentary show with 3 episodes over 1 season. Five Came Back is no longer running and has no plans to air new episodes or seasons. It has a high IMDb audience rating of 8.3 (3,643 votes) and was very well received by critics.",1Season,Netflix
Last Resort,2012,16+,7.4,"Drama, Action & Adventure","When the crew of the U.S. ballistic missile submarine Colorado refuse to fire nuclear weapons at Pakistan without confirmation of the orders, they are fired upon and declared rogue enemies of their own country.Last Resort featuring Andre Braugher and Scott Speedman has one or more episodes free on Sony Crackle, free on Plex, available for purchase on iTunes, and 5 others. It's an action & adventure and comedy show with 13 episodes over 1 season. Last Resort is no longer running and has no plans to air new episodes or seasons. It has a better than average IMDb audience rating of 7.4 (20,876 votes) and was well received by critics.",1Season,Free Services
The Daily Show with Trevor Noah,1996,16+,8.3,Comedy,"Trevor Noah and The World's Fakest News Team tackle the biggest stories in news, politics and pop culture.The Daily Show with Trevor Noah featuring Trevor Noah and Adrianne Frost has one or more episodes streaming on CBS All Access, streaming via tv everywhere with Comedy Central (Via Cable/Satellite Provider), free on Comedy Central, and 5 others. It's a comedy show with 4,216 episodes over 25 seasons. The Daily Show with Trevor Noah has a new episode airing on September 14th, 2020 (PDT). It has a high IMDb audience rating of 8.3 (44,297 votes).",25 Seasons,"Free Services,CBS All Access,Comedy Central"
The Golden Girls,1985,7+,7.9,"Comedy, Drama","Four Southern Florida seniors share a house, their dreams, and a whole lot of cheesecake. Bright, promiscuous, clueless and hilarious, these lovely, mismatched ladies form the perfect circle of friends.The Golden Girls featuring Bea Arthur and Betty White has one or more episodes streaming with subscription on Hulu, streaming via tv everywhere with TV Land (Via Cable/Satellite Provider), available for purchase on iTunes, and 4 others. It's a comedy and drama show with 204 episodes over 8 seasons. The Golden Girls is no longer running and has no plans to air new episodes or seasons. It has a high IMDb audience rating of 7.9 (30,547 votes).",8Seasons,"Hulu,TVLand"
Dr. Stone,2019,7+,8.2,"Animation, Anime","One fateful day, all of humanity was petrified by a blinding flash of light. After several millennia, high schooler Taiju awakens and finds himself lost in a world of statues. However, he's not alone! His science-loving friend Senku's been up and running for a few months and he's got a grand plan in mind, to kickstart civilization with the power of science!Dr. Stone featuring Yuusuke Kobayashi and Kana Ichinose has one or more episodes free on Crunchyroll, streaming with subscription on Funimation, available for purchase on Google Play, and 2 others. It's an action & adventure and animation show with 25 episodes over 2 seasons. Dr. Stone is still airing with no announced date for the next episode or season. It has a high IMDb audience rating of 8.2 (6,234 votes).",2Seasons,"Free Services,Funimation"
Survivor,2000,7+,7.2,"Reality, Action & Adventure","A reality show contest where sixteen or more castaways split between two or more “Tribes” are taken to a remote isolated location and are forced to live off the land with meager supplies for roughly 39 days. Frequent physical challenges are used to pit the tribes against each other for rewards, such as food or luxuries, or for “Immunity”, forcing the other tribe to attend “Tribal Council”, where they must vote off one of their players.Survivor featuring Jeff Probst has one or more episodes streaming with subscription on Prime Video, streaming with subscription on Hulu, streaming on CBS All Access, and 5 others. It's an action & adventure and game show show with 610 episodes over 40 seasons. Survivor is still airing with no announced date for the next episode or season. It has a better than average IMDb audience rating of 7.2 (21,448 votes).",40 Seasons,"Prime Video,Hulu,CBS All Access"
InuYasha,2000,16+,7.9,"Action & Adventure, Anime","Kagome Higurashi is a modern day young girl who lives with her family by the old Higure shrine. Unbeknownst to Kagome, she is the reincarnation of priestess Kikyo and posseses the ""Jewel of Four Souls"" (the Shikon jewel). One ill-fated day, Kagome locates an ancient well near her home and is abruptly transported through the well and into a feudal Japan, inhabited by demons. There, she encounters Inuyasha, son of a powerful demon father and a human mother, who is pinned to a tree by an enchanted arrow.InuYasha featuring Ai Kobayashi and Akiko Yajima has one or more episodes streaming with subscription on Netflix, streaming with subscription on HBO MAX, streaming with subscription on Hulu, and 2 others. It's an action & adventure and animation show with 368 episodes over 9 seasons. InuYasha is no longer running and has no plans to air new episodes or seasons. It has a high IMDb audience rating of 7.9 (14,101 votes).",9Seasons,"Free Services,Netflix,HBO MAX"
Kipo and the Age of Wonderbeasts,2020,7+,8.3,"Animation, Children","A sheltered girl gets a crash course in survival when a mutant attack sends her to the surface, far from the safety of her underground home.Kipo and the Age of Wonderbeasts featuring Karen Fukuhara and Sydney Mikayla has one or more episodes streaming with subscription on Netflix. It's an action & adventure and animation show with 20 episodes over 2 seasons. Kipo and the Age of Wonderbeasts has a new episode airing on October 11th, 2020 (PDT). It has a high IMDb audience rating of 8.3 (2,165 votes) and was very well received by critics.",2Seasons,Netflix
High Maintenance,2016,18+,8,"Comedy, Drama","Jump into the daily routines of a diverse group of New Yorkers and how they light things up. “The Guy” is a nameless pot deliveryman whose client base includes an eccentric group of characters with neuroses as diverse as the city.High Maintenance featuring Ben Sinclair and Juan Carlos Díaz has one or more episodes streaming with subscription on HBO MAX, streaming on HBO, available for purchase on iTunes, and 4 others. It's a comedy and drama show with 41 episodes over 4 seasons. High Maintenance is still airing with no announced date for the next episode or season. It has a high IMDb audience rating of 8.0 (6,403 votes) and was very well received by critics.",4Seasons,"HBO MAX,HBO"
Make It or Break It,2009,16+,7.5,"Drama, Sport","Set in the world of competitive gymnastics, the series follows a group of teen Olympic hopefuls as they train for their day in the spotlight.Make It or Break It featuring Rosa Blasi and Jason Manuel Olazabal has one or more episodes streaming with subscription on Hulu, free on Freeform, streaming with subscription on fuboTV, and 2 others. It's a drama and sport show with 48 episodes over 3 seasons. Make It or Break It is no longer running and has no plans to air new episodes or seasons. It has a better than average IMDb audience rating of 7.5 (9,252 votes) and was well received by critics.",3Seasons,"Free Services,Hulu,fuboTV"
Miraculous: Tales of Ladybug & Cat Noir,2015,7+,7.8,"Animation, Romance","Normal high school kids by day, protectors of Paris by night! Miraculous follows the heroic adventures of Marinette and Adrien as they transform into Ladybug and Cat Noir and set out to capture akumas, creatures responsible for turning the people of Paris into villains. But neither hero knows the other’s true identity – or that they’re classmates!Miraculous: Tales of Ladybug & Cat Noir featuring Annouck Hautbois and Benjamin Bollen has one or more episodes streaming with subscription on Netflix, available for purchase on Google Play, available for purchase on YouTube, and 1 other. It's an action & adventure and animation show with 80 episodes over 3 seasons. Miraculous: Tales of Ladybug & Cat Noir is still airing with no announced date for the next episode or season. It has a high IMDb audience rating of 7.8 (4,699 votes).",3Seasons,Netflix
UnREAL,2015,18+,7.8,"Drama, Romance","Set against the backdrop of a hit dating competition show, ""UnREAL"" is led by Rachel, a young staffer whose sole job is to manipulate her relationships with and among the contestants to get the vital dramatic and outrageous footage the program's dispassionate executive producer demands. What ensues is a humorous, yet vexing, look at what happens in the world of unscripted television, where being a contestant can be vicious and producing it is a whole other reality.UnREAL featuring Shiri Appleby and Constance Zimmer has one or more episodes streaming with subscription on Hulu, free on Lifetime, available for purchase on iTunes, and 4 others. It's a comedy and drama show with 38 episodes over 4 seasons. UnREAL is no longer running and has no plans to air new episodes or seasons. It has a high IMDb audience rating of 7.8 (13,112 votes) and was well received by critics.",4Seasons,"Free Services,Hulu"
Quantico,2015,16+,6.7,"Drama, Crime","A diverse group of recruits has arrived at the FBI Quantico Base for training. They are the best, the brightest and the most vetted, so it seems impossible that one of them is suspected of masterminding the biggest attack on New York City since 9/11.Quantico featuring Priyanka Chopra and Jake McLaughlin has one or more episodes streaming with subscription on Netflix, available for purchase on iTunes, available for purchase on Google Play, and 3 others. It's a crime and drama show with 57 episodes over 3 seasons. Quantico is no longer running and has no plans to air new episodes or seasons. It has a better than average IMDb audience rating of 6.7 (56,467 votes) and was well received by critics.",3Seasons,Netflix
In Treatment,2008,18+,8.3,Drama,"Set within the highly charged confines of individual psychotherapy sessions and centering around Dr. Paul Weston, a psychotherapist who exhibits an insightful, reserved demeanor while treating his patients—but displays a crippling insecurity while counseled by his own therapist.In Treatment featuring Gabriel Byrne and Irrfan Khan has one or more episodes streaming with subscription on HBO MAX, streaming on HBO, available for purchase on iTunes, and 4 others. It's a drama show with 106 episodes over 3 seasons. In Treatment is no longer running and has no plans to air new episodes or seasons. It has a high IMDb audience rating of 8.3 (15,028 votes) and was well received by critics.",3Seasons,"HBO MAX,HBO"
High School DxD,2012,18+,7.6,"Action & Adventure, Anime","The story follows Issei Hyōdō, a dim-witted, lecherous second-year high school student who is killed by a girl on his first date ever. Issei is reincarnated as a devil, and from that day forward, he serves as an underling of Riasu, a high-level devil who is also the prettiest girl on Issei's campus.High School DxD featuring Yuki Kaji and Ayana Taketatsu has one or more episodes streaming with subscription on Hulu, streaming with subscription on Funimation, available for purchase on iTunes, and 5 others. It's an action & adventure and animation show with 51 episodes over 4 seasons. High School DxD is no longer running and has no plans to air new episodes or seasons. It has a high IMDb audience rating of 7.6 (6,049 votes).",4Seasons,"Hulu,Funimation"
QI,2003,16+,8.6,"Comedy, Game Show","Comedy quiz show full of quirky facts, in which contestants are rewarded more if their answers are 'quite interesting'.QI featuring Alan Davies and Sandi Toksvig has one or more episodes streaming on AcornTV, free on Tubi, and streaming on BritBox. It's a comedy and game show show with 290 episodes over 19 seasons. QI is still airing with no announced date for the next episode or season. It has a high IMDb audience rating of 8.6 (29,095 votes).",19 Seasons,"Free Services,AcornTV,BritBox"
The Rockford Files,1974,16+,8.1,"Action & Adventure, Crime","Cranky but likable L.A. PI Jim Rockford pulls no punches (but takes plenty of them). An ex-con sent to the slammer for a crime he didn't commit, Rockford takes on cases others don't want, aided by his tough old man, his lawyer girlfriend and some shady associates from his past.The Rockford Files featuring James Garner and Noah Beery Jr. has one or more episodes free on IMDb TV, and free on Peacock. It's an action & adventure and crime show with 133 episodes over 7 seasons. The Rockford Files is no longer running and has no plans to air new episodes or seasons. It has a high IMDb audience rating of 8.1 (6,703 votes).",7Seasons,Free Services
ZeroZeroZero,2020,18+,8.2,"Crime, Drama","Based on the book of the same name by bestselling author Roberto Saviano, ZeroZeroZero is an unforgettable exploration of the inner workings of the global cocaine trade.ZeroZeroZero featuring Andrea Riseborough and Dane DeHaan has one or more episodes streaming with subscription on Prime Video. It's a crime and drama show with 8 episodes over 1 season. ZeroZeroZero is no longer running and has no plans to air new episodes or seasons. It has a high IMDb audience rating of 8.2 (10,086 votes) and was very well received by critics.",1 Season,Prime Video
GHOUL,2018,18+,7.1,"Horror, Drama","A newly minted military interrogator arrives at a covert detention center to discover that some of the terrorists held there are not of this world.GHOUL featuring Rohit Pathak and Radhika Apte has one or more episodes streaming with subscription on Netflix. It's a drama and fantasy show with 3 episodes over 1 season. GHOUL is still airing with no announced date for the next episode or season. It has a better than average IMDb audience rating of 7.1 (12,047 votes) and was well received by critics.",1Season,Netflix
Review,2014,16+,8.4,"Comedy, Documentary","The series uses “mockumentary” techniques to depict the fictional, reality television-style adventures of enthusiastic professional critic Forrest MacNeil, who hosts a TV show called ""Review"" in which he engages in any life experience his viewers ask him to, to find out if that life experience “is any good”. Afterward, Forrest formally rates each life experience in-studio, on a one-to-five-star scale. However, Forrest's compulsive curiosity and uncompromising commitment to the show unexpectedly backfire in ways that increasingly destroy his life as he is requested to review 'stealing', 'drug addiction', 'being a racist', 'getting divorced', 'getting revenge', and 'running from the law.Review featuring Jessica St. Clair and Andrew Daly has one or more episodes streaming via tv everywhere with Comedy Central (Via Cable/Satellite Provider), free on Comedy Central, streaming with subscription on Comedy Central Now (Via Prime Video), and 6 others. It's a comedy and documentary show with 30 episodes over 4 seasons. Review is no longer running and has no plans to air new episodes or seasons. It has a high IMDb audience rating of 8.4 (4,936 votes) and was very well received by critics.",4Seasons,"Free Services,Comedy Central"
Reaper,2007,16+,7.7,"Action & Adventure, Comedy","21 year-old slacker Sam Oliver learns that his parents sold his soul to the devil before he was born, and now Sam has to repay the debt by becoming the Devil's bounty hunter, retrieving souls that have somehow escaped from Hell.Reaper featuring Bret Harrison and Tyler Labine has one or more episodes free on ABC, available for purchase on iTunes, available for purchase on Google Play, and 3 others. It's an action & adventure and comedy show with 31 episodes over 2 seasons. Reaper is no longer running and has no plans to air new episodes or seasons. It has a high IMDb audience rating of 7.7 (22,983 votes) and was well received by critics.",2 Seasons,Free Services
Kaguya-sama: Love is War,2019,16+,8.2,"Comedy, Anime","Considered a genius due to having the highest grades in the country, Miyuki Shirogane leads the prestigious Shuchiin Academy's student council as its president, working alongside the beautiful and wealthy vice president Kaguya Shinomiya. The two are often regarded as the perfect couple by students despite them not being in any sort of romantic relationship. However, the truth is that after spending so much time together, the two have developed feelings for one another; unfortunately, neither is willing to confess, as doing so would be a sign of weakness. With their pride as elite students on the line, Miyuki and Kaguya embark on a quest to do whatever is necessary to get a confession out of the other. Through their daily antics, the battle of love begins!Kaguya-sama: Love is War featuring Aoi Koga and Ryota Suzuki has one or more episodes streaming with subscription on Hulu, streaming with subscription on Crunchyroll, free on Crunchyroll, and 1 other. It's an animation and anime show with 24 episodes over 2 seasons. Kaguya-sama: Love is War is no longer running and has no plans to air new episodes or seasons. It has a high IMDb audience rating of 8.2 (2,896 votes).",2Seasons,"Free Services,Hulu,Crunchyroll"
Alone,2015,16+,8.4,"Documentary, Reality","Hardcore survivalists are put by themselves in the Vancouver Island wilderness, without camera crews, teams, or producers – on a single mission to stay alive for as long as possible.Alone has one or more episodes streaming with subscription on Hulu, free on PlutoTV, streaming via tv everywhere with The History Channel (Via Cable/Satellite Provider), and 10 others. It's a documentary and game show show with 81 episodes over 7 seasons. Alone is still airing with no announced date for the next episode or season. It has a high IMDb audience rating of 8.4 (2,828 votes).",7 Seasons,"Free Services,Hulu,History"
Merlí,2015,16+,8.6,"Comedy, LGBTQ","TV series about a high school philosophy teacher, Merlí, who teaches in an original way, and about the students of his class, including his own son, and the relationship, friendship, love, and problems between the students of the class.Merlí featuring Francesc Orella and Carlos Cuevas has one or more episodes streaming with subscription on Netflix. It's a comedy and drama show with 40 episodes over 3 seasons. Merlí is no longer running and has no plans to air new episodes or seasons. It has a high IMDb audience rating of 8.6 (6,659 votes).",3Seasons,Netflix
Rise of Empires: Ottoman,2020,18+,8,"Documentary, Drama","Ottoman Sultan Mehmed II wages an epic campaign to take the Byzantine capital of Constantinople and shapes the course of history for centuries.Rise of Empires: Ottoman featuring Tuba Büyüküstün and Cem Yiğit Üzümoğlu has one or more episodes streaming with subscription on Netflix. It's an action & adventure and documentary show with 6 episodes over 1 season. Rise of Empires: Ottoman is still airing with no announced date for the next episode or season. It has a high IMDb audience rating of 8.0 (16,100 votes).",1Season,Netflix
Knight Rider,1982,7+,6.9,"Action & Adventure, Science-Fiction","Michael Long, an undercover police officer, is shot while investigating a case and left for dead by his assailants. He is rescued by Wilton Knight, a wealthy, dying millionaire and inventor who arranges life-saving surgery, including a new face and a new identity--that of Michael Knight. Michael is then given a special computerized and indestructible car called the Knight Industries Two Thousand (nicknamed KITT), and a mission: apprehend criminals who are beyond the reach of the law. The series depicts Michael's exploits as he and KITT battle the forces of evil on behalf of the Foundation for Law and Government.Knight Rider featuring David Hasselhoff and Edward Mulhare has one or more episodes streaming on Starz, free on NBC, available for purchase on iTunes, and 5 others. It's an action & adventure and crime show with 92 episodes over 4 seasons. Knight Rider is no longer running and has no plans to air new episodes or seasons. It has a better than average IMDb audience rating of 6.9 (29,401 votes).",4 Seasons,"Free Services,Starz"
Bewitched,1964,all,7.5,"Comedy, Fantasy","Samantha Stephens is a seemingly normal suburban housewife who also happens to be a genuine witch, with all the requisite magical powers. Her husband Darrin insists that Samantha keep her witchcraft under wraps, but situations invariably require her to indulge her powers while keeping her bothersome mother Endora at bay.Bewitched featuring Elizabeth Montgomery and Dick Sargent has one or more episodes free on Sony Crackle, free on IMDb TV, available for purchase on iTunes, and 4 others. It's a comedy and family show with 256 episodes over 8 seasons. Bewitched is no longer running and has no plans to air new episodes or seasons. It has a better than average IMDb audience rating of 7.5 (16,305 votes).",8Seasons,Free Services
Hunters,2020,18+,7.2,"Drama, Action & Adventure","A diverse band of Nazi Hunters living in 1977 New York City discover that hundreds of high ranking Nazi officials are living among us and conspiring to create a Fourth Reich in the U.S. The eclectic team of Hunters set out on a bloody quest to bring the Nazis to justice and thwart their new genocidal plans.Hunters featuring Logan Lerman and Al Pacino has one or more episodes streaming with subscription on Prime Video. It's an action & adventure and crime show with 10 episodes over 1 season. Hunters is still airing with no announced date for the next episode or season. It has a better than average IMDb audience rating of 7.2 (26,973 votes) and was met with mixed reviews by critics.",1Season,Prime Video
Last Man Standing,2011,7+,7.6,Comedy,"A married father of three tries to maintain his manliness in a world increasingly dominated by women.Last Man Standing featuring Tim Allen and Nancy Travis has one or more episodes streaming with subscription on Hulu, streaming via tv everywhere with FOX (Via Cable/Satellite Provider), free on FOX, and 6 others. It's a comedy show with 175 episodes over 8 seasons. Last Man Standing is still airing with no announced date for the next episode or season. It has a high IMDb audience rating of 7.6 (28,479 votes).",8Seasons,"Free Services,Hulu,FOX"
Under the Dome,2013,16+,6.6,"Drama, Horror","A small town is suddenly and inexplicably sealed off from the rest of the world by an enormous transparent dome. While military forces, the government and the media positioned outside of this surrounding barrier attempt to break it down, a small group of people inside attempt to figure out what the dome is, where it came from, and when (and if) it will go away.Under the Dome featuring Mike Vogel and Rachelle Lefevre has one or more episodes streaming on CBS All Access, and available for purchase on Prime Video. It's a drama and fantasy show with 40 episodes over 3 seasons. Under the Dome is no longer running and has no plans to air new episodes or seasons. It has an average IMDb audience rating of 6.6 (100,061 votes) and was well received by critics.",3Seasons,CBS All Access
